"name","long_tender_text"
"W111-1.de","Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 1.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 3,20 m)</br>Wanddicke: 75 mm</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 50, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 50/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln..</br>Beplankung beidseitig aus Gipsplatten GKB DIN 18180 bzw. Typ A EN 520: Knauf Bauplatte,
einlagig, Plattendicke 12,5 mm,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Knauf Detailblatt W11.de.
System: Knauf Metallständerwand W111.de"
"W111-2.de","Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 1.</br>Wandhöhe: … m
(max. zul. Wandhöhe: 3,20 m)</br>Wanddicke: 75 mm</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 50, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 50/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln..</br>Beplankung beidseitig aus Gipsplatten GKBI DIN 18180 bzw. Typ H2 EN 520: Knauf Bauplatte imprägniert,
einlagig, Plattendicke 12,5 mm,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Knauf Detailblatt W11.de.
System: Knauf Metallständerwand W111.de"
"W111-3.de","Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 1.</br>Rechenwert des bewerteten Schalldämm-Maßes Rw,R = 42 dB.*</br>Bewertetes Schalldämm-Maß Rw = 44,2 dB</br>Wandhöhe: … m
(max. zul. Wandhöhe: 3,20 m)</br>Wanddicke: 75 mm</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 50, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 50/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln..</br>Dämmschicht aus Mineralwolle nach DIN EN 13162, Dicke 40 mm,
Brandverhalten nach DIN EN 13501-1: A1,
Wärmeleitfähigkeit λ ≤ 0,040 W/(mK),*
längenbezogener Strömungswiderstand nach DIN EN 29053: r ≥ 5 kPa·s/m²,
einlagig, dicht stoßen, abrutschsicher verlegen,
Produkt: Knauf Insulation Trennwand-Dämmplatte TP 115
(Hergestellt mit Ecose® Technology, einem formaldehydfreien Bindemittel auf Basis vorwiegend natürlich-organischer Grundstoffe ohne Zusatz von künstlichen Farben oder Färbemitteln)
oder gleichwertig. *</br>Beplankung beidseitig aus Gipsplatten GKB DIN 18180 bzw. Typ A EN 520: Knauf Bauplatte,
einlagig, Plattendicke 12,5 mm,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Knauf Detailblatt W11.de.
System: Knauf Metallständerwand W111.de"
"W111-4.de","Nichttragende innere Trennwand DIN 4103-1 als Montagewand,
Einbaubereich 1.</br>Rechenwert des bewerteten Schalldämm-Maßes Rw,R = 42 dB.*</br>Bewertetes Schalldämm-Maß Rw = 44,2 dB</br>Wandhöhe: … m
(max. zul. Wandhöhe: 3,20 m)</br>Wanddicke: 75 mm</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 50, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 50/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln..</br>Dämmschicht aus Mineralwolle nach DIN EN 13162, Dicke 40 mm,
Brandverhalten nach DIN EN 13501-1: A1,
Wärmeleitfähigkeit λ ≤ 0,040 W/(mK),*
längenbezogener Strömungswiderstand nach DIN EN 29053: r ≥ 5 kPa·s/m²,
einlagig, dicht stoßen, abrutschsicher verlegen,
Produkt: Knauf Insulation Trennwand-Dämmplatte TP 115
(Hergestellt mit Ecose® Technology, einem formaldehydfreien Bindemittel auf Basis vorwiegend natürlich-organischer Grundstoffe ohne Zusatz von künstlichen Farben oder Färbemitteln)
oder gleichwertig. *</br>Beplankung beidseitig aus Gipsplatten GKBI DIN 18180 bzw. Typ H2 EN 520: Knauf Bauplatte imprägniert,
einlagig, Plattendicke 12,5 mm,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Knauf Detailblatt W11.de.
System: Knauf Metallständerwand W111.de"
"W111-5.de","Nichttragende innere Trennwand DIN 4103-1 als Montagewand,</br>Wandhöhe: … m
(max. zul. Wandhöhe: 3,85 m)</br>Wanddicke: 75 mm</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 50, Achsabstand 417 mm, Boden und Deckenanschlüsse mit Randprofilen UW 50/40.</br>Beplankung beidseitig aus Gipsplatten GKB DIN 18180 bzw. Typ A EN 520: Knauf Bauplatte,
einlagig, Plattendicke 12,5 mm,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Knauf Detailblatt W11.de.
System: Knauf Metallständerwand W111.de"
"W111-6.de","Nichttragende innere Trennwand DIN 4103-1 als Montagewand,</br>Wandhöhe: … m
(max. zul. Wandhöhe: 3,85 m)</br>Wanddicke: 75 mm</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 50, Achsabstand 417 mm, Boden und Deckenanschlüsse mit Randprofilen UW 50/40.</br>Beplankung beidseitig aus Gipsplatten GKBI DIN 18180 bzw. Typ H2 EN 520: Knauf Bauplatte imprägniert,
einlagig, Plattendicke 12,5 mm,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Knauf Detailblatt W11.de.
System: Knauf Metallständerwand W111.de"
"W111-7.de","Nichttragende innere Trennwand DIN 4103-1 als Montagewand,</br>Wandhöhe: … m
(max. zul. Wandhöhe: 4,00 m)</br>Wanddicke: 75 mm</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 50, Achsabstand 312,5 mm, Boden und Deckenanschlüsse mit Randprofilen UW 50/40.</br>Beplankung beidseitig aus Gipsplatten GKB DIN 18180 bzw. Typ A EN 520: Knauf Bauplatte,
einlagig, Plattendicke 12,5 mm,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Knauf Detailblatt W11.de.
System: Knauf Metallständerwand W111.de"
"W111-8.de","Nichttragende innere Trennwand DIN 4103-1 als Montagewand,</br>Wandhöhe: … m
(max. zul. Wandhöhe: 4,00 m)</br>Wanddicke: 75 mm</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 50, Achsabstand 312,5 mm, Boden und Deckenanschlüsse mit Randprofilen UW 50/40.</br>Beplankung beidseitig aus Gipsplatten GKBI DIN 18180 bzw. Typ H2 EN 520: Knauf Bauplatte imprägniert,
einlagig, Plattendicke 12,5 mm,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Knauf Detailblatt W11.de.
System: Knauf Metallständerwand W111.de"
"W111-9.de","Nichttragende innere Trennwand DIN 4103-1 als Montagewand,</br>Wandhöhe: … m
(max. zul. Wandhöhe: 4,00 m)</br>Wanddicke: 100 mm</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 75, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 75/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln.</br>Beplankung beidseitig aus Gipsplatten GKB DIN 18180 bzw. Typ A EN 520: Knauf Bauplatte,
einlagig, Plattendicke 12,5 mm,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Knauf Detailblatt W11.de.
System: Knauf Metallständerwand W111.de"
"W111-10.de","Nichttragende innere Trennwand DIN 4103-1 als Montagewand,</br>Wandhöhe: … m
(max. zul. Wandhöhe: 4,00 m)</br>Wanddicke: 100 mm</br>Umlaufende Anschlüsse starr,
vorhandener Befestigungsuntergrund Stahlbeton/ Mauerwerk ... / Leichtbeton *,
Ausführung mit Unterkonstruktion aus verzinkten Stahlblechprofilen DIN 18182-1,
Metallständer CW 75, Achsabstand 625 mm, Boden und Deckenanschlüsse mit Randprofilen UW 75/40,
Befestigung mit bauaufsichtlich zugelassenen Befestigungsmitteln.</br>Beplankung beidseitig aus Gipsplatten GKBI DIN 18180 bzw. Typ H2 EN 520: Knauf Bauplatte imprägniert,
einlagig, Plattendicke 12,5 mm,
Verarbeitung gemäß DIN 18181.</br>Verspachtelung der Gipsplatten gemäß Merkblatt Nr. 2 des Bundesverbandes der Gipsindustrie e.V. Qualitätsstufe Q2 Standardverspachtelung,
Verarbeitung gemäß DIN 18181.</br>Ausführung gemäß Knauf Detailblatt W11.de.
System: Knauf Metallständerwand W111.de"
